"ID","Case Number","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location","Date"
11561013,"JC109692","002XX N KOLIN AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false",1114,11,28,26,"08B",1147359,1900764,2019,"01/18/2019 09:37:14 AM",41.883657562,-87.734345824,"(41.883657562, -87.734345824)",01/08/2019 06:32:00 PM
11561012,"JC109907","036XX N HALSTED ST","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true",1925,19,46,6,"26",1170274,1924398,2019,"01/18/2019 09:37:14 AM",41.948040792,-87.649508191,"(41.948040792, -87.649508191)",01/08/2019 09:00:00 PM
11561278,"JC110261","059XX W ADDISON ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",1633,16,36,15,"06",1136115,1923329,2019,"01/18/2019 09:37:14 AM",41.945786539,-87.775096032,"(41.945786539, -87.775096032)",01/09/2019 10:45:00 AM
11622720,"JC110914","092XX S SAGINAW AVE","1812","NARCOTICS","POSS: CANNABIS MORE THAN 30GMS","SIDEWALK","true","false",423,4,7,48,"18",1195486,1844290,2019,"06/30/2019 03:41:21 PM",41.727632307,-87.559489294,"(41.727632307, -87.559489294)",01/09/2019 04:10:00 PM
11562298,"JC111367","012XX W 49TH PL","502P","OTHER OFFENSE","FALSE/STOLEN/ALTERED TRP","STREET","false","false",933,9,20,61,"26",1168973,1871959,2019,"01/18/2019 09:37:14 AM",41.804172624,-87.655811904,"(41.804172624, -87.655811904)",01/10/2019 09:25:00 AM
11562905,"JC112076","020XX W OHIO ST","1320","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","true","true",1221,12,26,24,"14",1162683,1904008,2019,"01/18/2019 09:37:14 AM",41.892252075,-87.677983704,"(41.892252075, -87.677983704)",01/10/2019 06:11:00 PM
11562963,"JC112244","006XX S CENTRAL AVE","0810","THEFT","OVER $500","PARKING LOT/GARAGE(NON.RESID.)","false","false",1522,15,29,25,"06",1139153,1896560,2019,"01/18/2019 09:37:14 AM",41.872274452,-87.764581664,"(41.872274452, -87.764581664)",01/10/2019 07:00:00 PM
11563261,"JC112512","020XX W GRAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1221,12,26,24,"14",1162766,1903483,2019,"01/18/2019 09:37:14 AM",41.890809693,-87.677693613,"(41.890809693, -87.677693613)",01/10/2019 10:30:00 PM
11563905,"JC113351","028XX S WENTWORTH AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","SIDEWALK","false","false",914,9,11,34,"14",1175410,1885893,2019,"01/18/2019 09:37:14 AM",41.842267069,-87.631786874,"(41.842267069, -87.631786874)",01/11/2019 03:00:00 PM
11563876,"JC113315","068XX S RIDGELAND AVE","0810","THEFT","OVER $500","APARTMENT","false","false",332,3,5,43,"06",1189047,1859939,2019,"01/18/2019 09:37:14 AM",41.77073104,-87.582575826,"(41.77073104, -87.582575826)",01/11/2019 06:00:00 PM
11563971,"JC113349","064XX S WOODLAWN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",314,3,20,42,"08B",1185325,1862457,2019,"09/07/2021 03:41:02 PM",41.777729002,-87.596139946,"(41.777729002, -87.596139946)",01/11/2019 07:00:00 PM
11563976,"JC113434","007XX N LECLAIRE AVE","3731","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION","STREET","true","false",1531,15,37,25,"24",1142217,1904620,2019,"01/18/2019 09:37:14 AM",41.894335824,-87.753132173,"(41.894335824, -87.753132173)",01/11/2019 07:24:00 PM
11564233,"JC113610","002XX W 43RD ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false",925,9,3,37,"04B",1175483,1876470,2019,"11/21/2021 03:39:47 PM",41.816407929,-87.631801368,"(41.816407929, -87.631801368)",01/11/2019 11:19:00 PM
